asset,model,origin,u_pit
gurkor,ARIMA-G,5000,0.4971217492735582
gurkor,ARIMA-t,5000,0.4971772128575743
gurkor,RW-G,5050,0.3224700596653456
gurkor,RW-t,5050,0.326344049841376
gurkor,ARIMA-G,5050,0.5450666382614928
gurkor,ARIMA-t,5050,0.5441910267247815
slingshots,RW-G,1200,0.1524607952596777
slingshots,RW-t,1200,0.1621303830900328
slingshots,ARIMA-G,1200,0.4182221591321248
slingshots,ARIMA-t,1200,0.4198032111479161
slingshots,RW-G,1250,0.001126127117623
slingshots,RW-t,1250,0.0056714134164204
slingshots,ARIMA-G,1250,0.0073036490143508
slingshots,ARIMA-t,1250,0.0164196229810052
slingshots,RW-G,1300,0.0158460722716542
slingshots,RW-t,1300,0.0277623829901036
slingshots,ARIMA-G,1300,0.0751598994804131
slingshots,ARIMA-t,1300,0.0891469945852811
slingshots,RW-G,1350,0.0144127486917054
slingshots,RW-t,1350,0.025806138228683
slingshots,ARIMA-G,1350,0.0674291904863062
slingshots,ARIMA-t,1350,0.0811793359827414
slingshots,RW-G,1400,0.0576226358183697
slingshots,RW-t,1400,0.0715124737360015
slingshots,ARIMA-G,1400,0.163213567404548
slingshots,ARIMA-t,1400,0.1733289845741065
slingshots,RW-G,1450,0.9025569024437784
slingshots,RW-t,1450,0.8873724875851257
slingshots,ARIMA-G,1450,0.9668706763602268
slingshots,ARIMA-t,1450,0.9512434718100916
slingshots,RW-G,1500,0.5270914634974371
slingshots,RW-t,1500,0.5263491078509585
slingshots,ARIMA-G,1500,0.6290181098262166
slingshots,ARIMA-t,1500,0.6252458848587583
slingshots,RW-G,1550,0.4623494554626331
slingshots,RW-t,1550,0.4633605167146681
slingshots,ARIMA-G,1550,0.5875001385103179
slingshots,ARIMA-t,1550,0.5851110169590874
slingshots,RW-G,1600,0.8392306409616035
slingshots,RW-t,1600,0.8269111371378365
slingshots,ARIMA-G,1600,0.880843874675311
slingshots,ARIMA-t,1600,0.8665597692820654
slingshots,RW-G,1650,0.7738522163687487
slingshots,RW-t,1650,0.7648013326386882
slingshots,ARIMA-G,1650,0.8506283979071245
slingshots,ARIMA-t,1650,0.8378910441503381
slingshots,RW-G,1700,0.7991953243807288
slingshots,RW-t,1700,0.7892349104394862
slingshots,ARIMA-G,1700,0.8546011837554419
slingshots,ARIMA-t,1700,0.8419956111631519
slingshots,RW-G,1750,0.6701621868625895
slingshots,RW-t,1750,0.6655241802792466
slingshots,ARIMA-G,1750,0.7553002429467693
slingshots,ARIMA-t,1750,0.7475577744180639
slingshots,RW-G,1800,0.1093759595083176
slingshots,RW-t,1800,0.1234024341110028
slingshots,ARIMA-G,1800,0.1684567022243975
slingshots,ARIMA-t,1800,0.1796982247519931
slingshots,RW-G,1850,0.1040091467874059
slingshots,RW-t,1850,0.1187682190658215
slingshots,ARIMA-G,1850,0.0882641547303674
slingshots,ARIMA-t,1850,0.1034770054383734
slingshots,RW-G,1900,0.1262175456022378
slingshots,RW-t,1900,0.1418644912158203
slingshots,ARIMA-G,1900,0.1058769244869373
slingshots,ARIMA-t,1900,0.1225289606554613
slingshots,RW-G,1950,0.2649426813490917
slingshots,RW-t,1950,0.2731044524155302
slingshots,ARIMA-G,1950,0.3724346649226716
slingshots,ARIMA-t,1950,0.3762957751820542
slingshots,RW-G,2000,0.4154965886477365
slingshots,RW-t,2000,0.4179445862578564
slingshots,ARIMA-G,2000,0.4897008157391332
slingshots,ARIMA-t,2000,0.48998896325331
slingshots,RW-G,2050,0.296410525931124
slingshots,RW-t,2050,0.3030490810100306
slingshots,ARIMA-G,2050,0.2616857073820734
slingshots,ARIMA-t,2050,0.2697933132230913
slingshots,RW-G,2100,0.58129393979288
slingshots,RW-t,2100,0.5790015339329527
slingshots,ARIMA-G,2100,0.65992827203929
slingshots,ARIMA-t,2100,0.6551043288727685
slingshots,RW-G,2150,0.3271067672042059
slingshots,RW-t,2150,0.3323276322882593
slingshots,ARIMA-G,2150,0.4081328360444473
